started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2019-12-01 00:04:11.401000+00:00,2019-12-01 00:17:06.583000+00:00,775,183,Waverley Bridge,near the top of the South ramp,55.95134439884462,-3.1914209989898836,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2019-12-01 00:04:38.530000+00:00,2019-12-01 00:15:03.599000+00:00,625,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.2318471509140636
2019-12-01 00:05:48.971000+00:00,2019-12-01 00:16:59.816000+00:00,670,183,Waverley Bridge,near the top of the South ramp,55.95134439884462,-3.1914209989898836,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2019-12-01 00:12:04.198000+00:00,2019-12-01 00:28:58.087000+00:00,1013,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459
2019-12-01 00:14:34.991000+00:00,2019-12-01 00:30:56.043000+00:00,981,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388913,1743,Logie Green Road,Outside Lidl,55.964058329676064,-3.1957003611248638
2019-12-01 00:21:21.538000+00:00,2019-12-01 00:31:54.859000+00:00,633,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929
2019-12-01 00:27:29.264000+00:00,2019-12-01 00:33:22.398000+00:00,353,171,George Square,"George Square, south side in front of University library",55.94308406301113,-3.1883110727223993,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134
2019-12-01 00:29:53.128000+00:00,2019-12-01 00:35:30.887000+00:00,337,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.949797565633276,-3.1877950320129003,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2019-12-01 00:30:39.018000+00:00,2019-12-01 00:38:21.082000+00:00,462,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.949797565633276,-3.1877950320129003,261,Brunswick Place - Virtual,Junction Brunswick Street and Elm Row,55.960929747664,-3.1810053147805775
2019-12-01 00:40:02.213000+00:00,2019-12-01 00:45:37.601000+00:00,335,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956,1743,Logie Green Road,Outside Lidl,55.964058329676064,-3.1957003611248638
2019-12-01 00:45:52.943000+00:00,2019-12-01 00:54:22.828000+00:00,509,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2019-12-01 00:48:01.681000+00:00,2019-12-01 00:54:43.926000+00:00,402,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864,1024,Meadow Place,End of Meadow Place,55.940237631689435,-3.194640214184801
2019-12-01 01:00:35.620000+00:00,2019-12-01 01:06:38.380000+00:00,362,1017,Crichton Street,East end of street,55.94478427951007,-3.186906245433761,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134
2019-12-01 01:00:42.712000+00:00,2019-12-01 01:06:45.513000+00:00,362,1017,Crichton Street,East end of street,55.94478427951007,-3.186906245433761,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134
2019-12-01 01:15:29.742000+00:00,2019-12-01 01:20:51.971000+00:00,322,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825,1720,Dundas Street,On corner of Henderson Row,55.9607624081837,-3.201278014771333
2019-12-01 01:34:47.684000+00:00,2019-12-01 01:51:02.063000+00:00,974,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134,290,Bruntsfield links,Corner of Bruntsfield Terrace and Bruntsfield Place,55.93715871276677,-3.206435329645956
2019-12-01 01:40:02.204000+00:00,2019-12-01 02:08:18.050000+00:00,1695,1098,Marchmont Crescent,Corner of Marchmont Road,55.936431918148195,-3.194150044314256,1092,Dalry Road Lidl,,55.94179129688128,-3.2224153095964994
