started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2021-02-01 03:26:21.021000+00:00,2021-02-01 03:47:09.201000+00:00,1248,1096,West Crosscauseway,On island next to Buccleuch Street,55.9438359841253,-3.1849514084976818,1823,Boroughmuir,Off Gibson Terrace,55.94007146917616,-3.215335840688084
2021-02-01 06:08:33.670000+00:00,2021-02-01 06:34:40.776000+00:00,1567,1729,McDonald Road,Next to Fire Station,55.9640310527501,-3.1851753729504253,1739,Edinburgh Royal Infirmary,Front of new Sick Kids Hospital,55.921220122613306,-3.1390755550312406
2021-02-01 06:31:22.457000+00:00,2021-02-01 06:43:49.111000+00:00,746,1725,Edinburgh Zoo,"Corstorphine Road, Edinburgh",55.94211534619251,-3.2692867654484417,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.2318471509140636
2021-02-01 06:44:15.560000+00:00,2021-02-01 07:02:46.993000+00:00,1111,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.2318471509140636,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.1918903325579038
2021-02-01 07:03:32.515000+00:00,2021-02-01 07:35:03.171000+00:00,1890,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.1918903325579038,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874
2021-02-01 07:13:00.826000+00:00,2021-02-01 07:27:33.354000+00:00,872,1039,Lothian Road,Outside the Usher Hall,55.947409199207115,-3.2057654971365537,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289
2021-02-01 07:13:49.154000+00:00,2021-02-01 07:27:18.137000+00:00,808,1039,Lothian Road,Outside the Usher Hall,55.947409199207115,-3.2057654971365537,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289
2021-02-01 07:25:08.080000+00:00,2021-02-01 08:04:19.630000+00:00,2351,1814,Abbeyhill,Near Abbey Mount,55.95524788917224,-3.1722162800950704,1739,Edinburgh Royal Infirmary,Front of new Sick Kids Hospital,55.921220122613306,-3.1390755550312406
2021-02-01 07:31:09.571000+00:00,2021-02-01 07:54:21.399000+00:00,1391,1729,McDonald Road,Next to Fire Station,55.9640310527501,-3.1851753729504253,1756,Western General Hospital,Porterfield Road,55.96283984266853,-3.234135938375289
2021-02-01 07:37:08.974000+00:00,2021-02-01 07:52:41.214000+00:00,932,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.1918903325579038,183,Waverley Bridge,near the top of the South ramp,55.951980756193535,-3.1918903325579038
2021-02-01 07:54:14.397000+00:00,2021-02-01 08:10:52.534000+00:00,998,253,Kings Building 2,Sanderson Building,55.92320215516664,-3.1716462453634904,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808
2021-02-01 08:11:28.678000+00:00,2021-02-01 08:22:12.042000+00:00,643,1823,Boroughmuir,Off Gibson Terrace,55.94007146917616,-3.215335840688084,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864
2021-02-01 08:12:05.833000+00:00,2021-02-01 08:21:42.767000+00:00,576,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453
2021-02-01 08:14:21.328000+00:00,2021-02-01 08:21:05.713000+00:00,404,1768,Thirlestane Road,On corner with St Margaret's Place,55.935323709648124,-3.198763443819871,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2021-02-01 08:23:29.121000+00:00,2021-02-01 08:32:25.040000+00:00,535,1024,Meadow Place,End of Meadow Place,55.940237631689435,-3.194640214184801,225,Waverley Court,On Waverley Court forecourt,55.95173449698344,-3.1841785354060903
2021-02-01 08:30:45.372000+00:00,2021-02-01 08:42:48.897000+00:00,723,1051,Warrender Park Road,On corner with Spottiswoode Street,55.93836921723555,-3.1980326885466184,1720,Dundas Street,On corner of Henderson Row,55.9607624081837,-3.201278014771333
2021-02-01 08:32:28.229000+00:00,2021-02-01 08:51:41.190000+00:00,1152,260,Lauriston Place,near Chalmers Street,55.944771652335476,-3.1972658564195626,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96503980507732,-3.1766864147848537
2021-02-01 08:33:38.462000+00:00,2021-02-01 08:50:02.262000+00:00,983,259,St Andrew Square,North East corner,55.95490573198223,-3.192443756949956,1765,Haymarket Terrace,Corner of Magdala Crescent,55.946063966641006,-3.2230240243595745
2021-02-01 08:38:29.311000+00:00,2021-02-01 09:02:19.703000+00:00,1430,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277433,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459
2021-02-01 08:43:23.816000+00:00,2021-02-01 09:02:09.411000+00:00,1125,1820,Heriot Watt - Student Accommodation,Outside Anna Macleod Halls,55.90841344459825,-3.3287835258168874,1820,Heriot Watt - Student Accommodation,Outside Anna Macleod Halls,55.90841344459825,-3.3287835258168874
2021-02-01 08:58:30.471000+00:00,2021-02-01 09:15:07.256000+00:00,996,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1745,Scotland Street,Corner with Royal Crescent,55.96037972054591,-3.1954703369027584
2021-02-01 09:18:32.014000+00:00,2021-02-01 09:36:09.298000+00:00,1057,250,Victoria Quay,Entrance to Scottish Government Office,55.977617152546344,-3.1741263194576277,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277433
