started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2020-12-01 00:52:34.230000+00:00,2020-12-01 01:30:17.826000+00:00,2263,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134,1813,Milton Road - Edinburgh College,Milton Road Campus,55.94406627599551,-3.0985614794416128
2020-12-01 01:05:19.969000+00:00,2020-12-01 01:16:59.662000+00:00,699,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1769,Brunswick Place,Corner of Elm Row/Brunswick Street,55.96085174106396,-3.180985762469163
2020-12-01 01:11:16.867000+00:00,2020-12-01 01:24:49.018000+00:00,812,1098,Marchmont Crescent,Corner of Marchmont Road,55.936431918148195,-3.194150044314256,2259,Leith Walk North,Next to Allander House,55.96791807044289,-3.1735862970647304
2020-12-01 01:32:57.328000+00:00,2020-12-01 01:48:01.063000+00:00,903,1098,Marchmont Crescent,Corner of Marchmont Road,55.936431918148195,-3.194150044314256,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805
2020-12-01 01:33:30.672000+00:00,2020-12-01 01:47:55.483000+00:00,864,1768,Thirlestane Road,On corner with St Margaret's Place,55.935323709648124,-3.198763443819871,2268,Picardy Place,Outside Omni Centre,55.95653524179326,-3.1862476120746805
2020-12-01 01:38:15.392000+00:00,2020-12-01 01:55:37.405000+00:00,1042,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547,250,Victoria Quay,Entrance to Scottish Government Office,55.977617152546344,-3.1741263194576277
2020-12-01 02:01:10.367000+00:00,2020-12-01 02:26:20.858000+00:00,1510,1820,Heriot Watt - Student Accommodation,Outside Anna Macleod Halls,55.90841344459825,-3.3287835258168874,1819,Heriot Watt - Edinburgh Business School,Outside Edinburgh Business School,55.9088228790413,-3.320113285176247
2020-12-01 03:50:44.019000+00:00,2020-12-01 04:07:13.521000+00:00,989,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,1824,Duke Street,Junction with Easter Road,55.96901164826488,-3.16739470303429
2020-12-01 04:13:33.495000+00:00,2020-12-01 04:20:19.809000+00:00,406,264,Pollock Halls,Pollock Halls Entrance,55.94008064125911,-3.171746866852459,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789
2020-12-01 04:23:25.369000+00:00,2020-12-01 04:53:03.744000+00:00,1778,1823,Boroughmuir,Off Gibson Terrace,55.94007146917616,-3.215335840688084,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.949797565633276,-3.1877950320129003
