started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2019-02-01 01:23:26.074000+00:00,2019-02-01 01:38:58.994000+00:00,932,265,Meadows East,Melville Terrace,55.939809466328285,-3.182738850746432,275,Riego Street,Riego Street on junction with East Fountainbridge,55.945159896857184,-3.2036782907171073
2019-02-01 03:26:35.722000+00:00,2019-02-01 03:32:48.068000+00:00,372,171,George Square,"George Square, south side in front of University library",55.94308406301113,-3.1883110727223993,344,Marchmont Crescent,Corner of Marchmont Crescent & Marchmont Road,55.936397496743666,-3.194252202886105
2019-02-01 07:37:31.386000+00:00,2019-02-01 07:48:43.898000+00:00,672,183,Waverley Bridge,near the top of the South ramp,55.95134439884462,-3.1914209989898836,341,Warrender Park Road,Corner of Warrender Park Road & Spottiswoode Street,55.938363058645024,-3.198031182386103
2019-02-01 07:58:36.793000+00:00,2019-02-01 08:15:39.790000+00:00,1022,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.960929747664,-3.1810053147805775,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453
2019-02-01 08:01:30.312000+00:00,2019-02-01 08:12:48.599000+00:00,678,344,Marchmont Crescent,Corner of Marchmont Crescent & Marchmont Road,55.936397496743666,-3.194252202886105,254,Kings Building 3,Kings Building House,55.923478807846635,-3.1753845849070785
2019-02-01 08:28:18.097000+00:00,2019-02-01 08:40:59.982000+00:00,761,354,South Trinity Road,Corner of South Trinity Road & Ferry Road,55.971268912190844,-3.2078157175304796,250,Victoria Quay,Entrance to Scottish Government Office,55.977637787726984,-3.174115590621568
2019-02-01 08:35:15.972000+00:00,2019-02-01 08:43:31.230000+00:00,495,275,Riego Street,Riego Street on junction with East Fountainbridge,55.945159896857184,-3.2036782907171073,225,Waverley Court,On Waverley Court forecourt,55.95173449698344,-3.1841785354060903
2019-02-01 08:35:55.772000+00:00,2019-02-01 08:49:38.567000+00:00,822,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.960929747664,-3.1810053147805775,260,Lauriston Place,near Chalmers Street,55.944771652335476,-3.1972658564195626
2019-02-01 08:42:36.543000+00:00,2019-02-01 08:57:03.591000+00:00,867,265,Meadows East,Melville Terrace,55.939809466328285,-3.182738850746432,253,Kings Building 2,Sanderson Building,55.92320215516664,-3.1716462453634904
2019-02-01 08:53:18.613000+00:00,2019-02-01 09:11:04.033000+00:00,1065,357,Macdonald Road,Macdonald Road,55.963995150971236,-3.1851887678931234,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864
2019-02-01 08:57:10.325000+00:00,2019-02-01 09:07:05.385000+00:00,595,359,Causewayside,Causewayside outside NLS,55.93642987756881,-3.1801149035579783,260,Lauriston Place,near Chalmers Street,55.944771652335476,-3.1972658564195626
2019-02-01 08:59:21.936000+00:00,2019-02-01 09:04:44.806000+00:00,322,344,Marchmont Crescent,Corner of Marchmont Crescent & Marchmont Road,55.936397496743666,-3.194252202886105,265,Meadows East,Melville Terrace,55.939809466328285,-3.182738850746432
2019-02-01 09:03:12.658000+00:00,2019-02-01 09:19:59.924000+00:00,1007,171,George Square,"George Square, south side in front of University library",55.94308406301113,-3.1883110727223993,254,Kings Building 3,Kings Building House,55.923478807846635,-3.1753845849070785
2019-02-01 09:13:44.843000+00:00,2019-02-01 09:24:13.379000+00:00,628,253,Kings Building 2,Sanderson Building,55.92320215516664,-3.1716462453634904,265,Meadows East,Melville Terrace,55.939809466328285,-3.182738850746432
2019-02-01 09:22:31.935000+00:00,2019-02-01 09:38:24.332000+00:00,952,265,Meadows East,Melville Terrace,55.939809466328285,-3.182738850746432,255,Kings Buildings 4,X-Y Cafe,55.92200087060626,-3.1769018141649212
2019-02-01 09:33:57.472000+00:00,2019-02-01 10:08:47.797000+00:00,2090,257,Portobello,Edinburgh Leisure Tumbles Centre,55.957004308392506,-3.1168881187301167,248,Bristo Square,"Bristo Square, near Potterrow",55.94600418964078,-3.188665492872815
2019-02-01 09:39:09.586000+00:00,2019-02-01 10:01:35.169000+00:00,1345,248,Bristo Square,"Bristo Square, near Potterrow",55.94600418964078,-3.188665492872815,253,Kings Building 2,Sanderson Building,55.92320215516664,-3.1716462453634904
2019-02-01 09:46:02.723000+00:00,2019-02-01 09:54:56.541000+00:00,533,264,Pollock Halls,Pollock Halls Entrance,55.939963469723715,-3.1715859343115653,171,George Square,"George Square, south side in front of University library",55.94308406301113,-3.1883110727223993
2019-02-01 09:49:41.657000+00:00,2019-02-01 09:59:28.942000+00:00,587,264,Pollock Halls,Pollock Halls Entrance,55.939963469723715,-3.1715859343115653,171,George Square,"George Square, south side in front of University library",55.94308406301113,-3.1883110727223993
2019-02-01 09:50:01.712000+00:00,2019-02-01 10:03:17.912000+00:00,796,366,Newhaven Road / Dudley Gardens,Corner of Dudley Gardens on Newhaven Road,55.97592062794979,-3.1913460792943624,357,Macdonald Road,Macdonald Road,55.963995150971236,-3.1851887678931234
2019-02-01 09:56:56.257000+00:00,2019-02-01 10:09:57.516000+00:00,781,261,Brunswick Place,Junction Brunswick Street and Elm Row,55.960929747664,-3.1810053147805775,296,Castle Terrace,Corner of Castle Terrace and Lady Lawson St,55.94676648672239,-3.2020378290551434
2019-02-01 11:04:43.218000+00:00,2019-02-01 11:17:48.719000+00:00,785,264,Pollock Halls,Pollock Halls Entrance,55.939963469723715,-3.1715859343115653,254,Kings Building 3,Kings Building House,55.923478807846635,-3.1753845849070785
2019-02-01 11:44:00.238000+00:00,2019-02-01 11:55:26.186000+00:00,685,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825,275,Riego Street,Riego Street on junction with East Fountainbridge,55.945159896857184,-3.2036782907171073
2019-02-01 11:59:53.720000+00:00,2019-02-01 12:08:49.571000+00:00,535,344,Marchmont Crescent,Corner of Marchmont Crescent & Marchmont Road,55.936397496743666,-3.194252202886105,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864
2019-02-01 12:07:29.730000+00:00,2019-02-01 13:07:22.570000+00:00,3592,260,Lauriston Place,near Chalmers Street,55.944771652335476,-3.1972658564195626,256,St Andrews House,beside Jacobs ladder,55.95316433242384,-3.181682340931843
