started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2020-01-01 01:58:43.652000+00:00,2020-01-01 02:40:47.877000+00:00,2524,1768,Thirlestane Road,On corner with St Margaret's Place,55.935323709648124,-3.198763443819871,246,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.939000247888764,-3.173923554315593
2020-01-01 01:59:52.143000+00:00,2020-01-01 02:25:56.613000+00:00,1564,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277433,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258
2020-01-01 02:03:25.103000+00:00,2020-01-01 03:13:05.812000+00:00,4180,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874
2020-01-01 02:10:27.019000+00:00,2020-01-01 03:13:34.852000+00:00,3787,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874
2020-01-01 02:11:25.624000+00:00,2020-01-01 03:32:45.157000+00:00,4879,1091,Holyrood Road,Opposite St Leonards Land,55.94955950619123,-3.180413257527789,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874
2020-01-01 02:12:37.454000+00:00,2020-01-01 02:23:51.698000+00:00,674,1039,Lothian Road,Outside the Usher Hall,55.947409199207115,-3.2057654971365537,1744,Morningside Road,"Corner of Morningside Park, beside M&S",55.927985349796536,-3.209749771944871
2020-01-01 02:22:54.109000+00:00,2020-01-01 02:28:11.524000+00:00,317,1767,Bruntsfield Links,Corner of Bruntsfield Links next to Public Toilets,55.937123239991095,-3.206431879393449,1744,Morningside Road,"Corner of Morningside Park, beside M&S",55.927985349796536,-3.209749771944871
2020-01-01 02:43:48.849000+00:00,2020-01-01 02:50:27.410000+00:00,398,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,1052,Surgeons Hall,East side of Nicolson Street,55.94664279961712,-3.1854745859388913
2020-01-01 02:47:41.001000+00:00,2020-01-01 03:26:52.823000+00:00,2351,1039,Lothian Road,Outside the Usher Hall,55.947409199207115,-3.2057654971365537,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134
2020-01-01 02:47:42.998000+00:00,2020-01-01 03:10:15.744000+00:00,1352,1039,Lothian Road,Outside the Usher Hall,55.947409199207115,-3.2057654971365537,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134
2020-01-01 02:50:44.599000+00:00,2020-01-01 03:11:32.256000+00:00,1247,1039,Lothian Road,Outside the Usher Hall,55.947409199207115,-3.2057654971365537,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134
2020-01-01 02:54:06.147000+00:00,2020-01-01 02:59:09.918000+00:00,303,1729,McDonald Road,Next to Fire Station,55.9640310527501,-3.1851753729504253,1720,Dundas Street,On corner of Henderson Row,55.9607624081837,-3.201278014771333
2020-01-01 02:56:39.830000+00:00,2020-01-01 03:06:08.795000+00:00,568,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.949797565633276,-3.1877950320129003,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96503980507732,-3.1766864147848537
2020-01-01 02:56:47.415000+00:00,2020-01-01 03:05:52.223000+00:00,544,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.949797565633276,-3.1877950320129003,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96503980507732,-3.1766864147848537
2020-01-01 02:59:41.314000+00:00,2020-01-01 03:26:10.726000+00:00,1589,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825,1055,Roseburn Street,On corner with Russell Gardens,55.94442555452843,-3.234497716594433
2020-01-01 03:00:08.168000+00:00,2020-01-01 03:45:08.452000+00:00,2700,1039,Lothian Road,Outside the Usher Hall,55.947409199207115,-3.2057654971365537,1051,Warrender Park Road,On corner with Spottiswoode Street,55.93836921723555,-3.1980326885466184
2020-01-01 03:00:19.669000+00:00,2020-01-01 03:29:30.444000+00:00,1750,1098,Marchmont Crescent,Corner of Marchmont Road,55.936431918148195,-3.194150044314256,285,Ocean Terminal,Debenhams / Puregym entrance,55.981286014792985,-3.176351263805259
2020-01-01 03:03:41.410000+00:00,2020-01-01 03:20:07.843000+00:00,986,248,Bristo Square,"Bristo Square, near Potterrow",55.94583371599285,-3.189053072075467,1744,Morningside Road,"Corner of Morningside Park, beside M&S",55.927985349796536,-3.209749771944871
2020-01-01 03:09:29.150000+00:00,2020-01-01 03:25:51.872000+00:00,982,296,Castle Terrace,Corner of Castle Terrace and Lady Lawson St,55.94676648672239,-3.2020378290551434,1055,Roseburn Street,On corner with Russell Gardens,55.94442555452843,-3.234497716594433
2020-01-01 03:10:53.425000+00:00,2020-01-01 03:36:27.247000+00:00,1533,1730,East London Street,Outside St Mary's Primary School,55.95995414501485,-3.1871977585476543,1756,Western General Hospital,Porterfield Road,55.963453810934496,-3.232909305683961
2020-01-01 03:17:28.469000+00:00,2020-01-01 03:48:25.751000+00:00,1857,1730,East London Street,Outside St Mary's Primary School,55.95995414501485,-3.1871977585476543,1722,Cramond Foreshore,Near Cramond Beach,55.980030767403164,-3.300641788832536
2020-01-01 03:25:30.299000+00:00,2020-01-01 03:33:46.465000+00:00,496,1039,Lothian Road,Outside the Usher Hall,55.947409199207115,-3.2057654971365537,1051,Warrender Park Road,On corner with Spottiswoode Street,55.93836921723555,-3.1980326885466184
2020-01-01 03:25:38.199000+00:00,2020-01-01 03:34:05.810000+00:00,507,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2020-01-01 03:26:10.101000+00:00,2020-01-01 03:33:49.526000+00:00,459,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
2020-01-01 03:26:29.909000+00:00,2020-01-01 03:32:22.789000+00:00,352,171,George Square,"George Square, south side in front of University library",55.94308406301113,-3.1883110727223993,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134
2020-01-01 03:43:51.990000+00:00,2020-01-01 03:44:55.869000+00:00,63,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134
2020-01-01 03:45:17.374000+00:00,2020-01-01 04:24:52.547000+00:00,2375,1763,Comely Bank Road,Outside Raeburn Place Sports Ground,55.95941012836135,-3.2156613606136943,1766,Balgreen Road,Opposite Jenners Depository,55.938941745489494,-3.251110776059022
2020-01-01 03:57:34.712000+00:00,2020-01-01 04:17:15.007000+00:00,1180,1039,Lothian Road,Outside the Usher Hall,55.947409199207115,-3.2057654971365537,1095,Dudley Gardens,Opposite Victoria Park on Newhaven Road,55.97593978299806,-3.191321207818646
2020-01-01 04:15:01.206000+00:00,2020-01-01 04:21:13.202000+00:00,371,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.949797565633276,-3.1877950320129003,1727,Causewayside,Outside National Library of Scotland,55.93650603148236,-3.1801663476151134
2020-01-01 04:17:57.136000+00:00,2020-01-01 04:39:59.495000+00:00,1322,1098,Marchmont Crescent,Corner of Marchmont Road,55.936431918148195,-3.194150044314256,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258
2020-01-01 04:37:12.807000+00:00,2020-01-01 09:37:40.653000+00:00,18027,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547,1055,Roseburn Street,On corner with Russell Gardens,55.94442555452843,-3.234497716594433
2020-01-01 04:45:44.971000+00:00,2020-01-01 05:04:42.134000+00:00,1137,1095,Dudley Gardens,Opposite Victoria Park on Newhaven Road,55.97593978299806,-3.191321207818646,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258
2020-01-01 04:46:08.646000+00:00,2020-01-01 05:04:34.462000+00:00,1105,1095,Dudley Gardens,Opposite Victoria Park on Newhaven Road,55.97593978299806,-3.191321207818646,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258
2020-01-01 04:47:40.734000+00:00,2020-01-01 05:01:43.227000+00:00,842,1730,East London Street,Outside St Mary's Primary School,55.95995414501485,-3.1871977585476543,1095,Dudley Gardens,Opposite Victoria Park on Newhaven Road,55.97593978299806,-3.191321207818646
2020-01-01 05:14:35.780000+00:00,2020-01-01 05:26:24.816000+00:00,709,1039,Lothian Road,Outside the Usher Hall,55.947409199207115,-3.2057654971365537,1738,Wester Coates Terrace,Junction with Roseburn Terrace,55.94564841884953,-3.2318471509140636
2020-01-01 05:22:07.402000+00:00,2020-01-01 05:35:22.984000+00:00,795,248,Bristo Square,"Bristo Square, near Potterrow",55.94583371599285,-3.189053072075467,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547
2020-01-01 05:32:16.164000+00:00,2020-01-01 05:49:32.219000+00:00,1036,1028,Hunter Square,In Hunter Square next to Tron Kirk,55.949797565633276,-3.1877950320129003,1728,Portobello - Kings Road,Foot of Kings Road next to the promenade,55.957915406923476,-3.1183320420902874
2020-01-01 05:36:04.621000+00:00,2020-01-01 05:57:25.577000+00:00,1280,1745,Scotland Street,Corner with Royal Crescent,55.96037972054591,-3.1954703369027584,1025,Dundee Terrace,Corner of Dundee Street & Dundee Terrace,55.93970989541296,-3.2205889336679547
2020-01-01 05:40:16.430000+00:00,2020-01-01 06:05:38.762000+00:00,1522,296,Castle Terrace,Corner of Castle Terrace and Lady Lawson St,55.94676648672239,-3.2020378290551434,1721,Tollcross,Outside Piccolinos off Lauriston Place,55.944248052468346,-3.2031045991104747
2020-01-01 05:41:56.738000+00:00,2020-01-01 05:57:44.697000+00:00,947,296,Castle Terrace,Corner of Castle Terrace and Lady Lawson St,55.94676648672239,-3.2020378290551434,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864
2020-01-01 05:44:04.013000+00:00,2020-01-01 06:00:14.512000+00:00,970,1720,Dundas Street,On corner of Henderson Row,55.9607624081837,-3.201278014771333,1038,South Trinity Road,Corner of South Trinity Road and Ferry Road,55.97132539148155,-3.207963567424258
2020-01-01 05:55:47.732000+00:00,2020-01-01 07:18:42.952000+00:00,4975,256,St Andrews House,beside Jacobs ladder,55.95316433242384,-3.181682340931843,183,Waverley Bridge,near the top of the South ramp,55.95134439884462,-3.1914209989898836
2020-01-01 06:14:39.706000+00:00,2020-01-01 06:18:34.818000+00:00,235,1051,Warrender Park Road,On corner with Spottiswoode Street,55.93836921723555,-3.1980326885466184,265,Meadows East,Between Melville Terrace and Sciennes,55.939809466328285,-3.182738850746432
