,Area,What is your age?,What is your gender?,"space for walking/cycling, restricting parking/closing streets near schools",Space in city centre for walking and/or cycling,"New signed ‘quiet connections’ for day to day cycling, with road closures to reduce traffic.",Most often,2nd most often,3rd most often,Most often.1,2nd most often.1,3rd most often.1,how many cars or vans (own or company cars/vans) are available to members of your household?
198,North,55 – 64,Male,2.0,2.0,2.0,Car,Walk,None,Car,Walk,None,1.0
199,West,25 – 34,Female,3.0,3.0,4.0,Walk,Bus,Car,Walk,Bus,Car,0.0
200,East,25 – 34,Female,2.0,2.0,2.0,Car,Walk,None,Car,Walk,Bus,2.0
201,South,45 – 54,Female,3.0,3.0,3.0,Car,None,,Car,None,,2.0
202,South,35 – 44,Female,3.0,4.0,1.0,Car,Walk,Bus,Bus,Taxi/Private hire car,Walk,1.0
203,South,55 – 64,Male,5.0,5.0,5.0,Walk,Bus,Car,Walk,Bus,Car,1.0
204,West,45 – 54,Female,3.0,3.0,3.0,Walk,Bus,None,Bus,Tram,Walk,0.0
205,West,25 – 34,Female,1.0,3.0,2.0,Tram,Walk,Tram,Bus,Walk,Tram,1.0
206,East,25 – 34,Female,3.0,3.0,1.0,Wheelchair or mobility scooter,Taxi/Private hire car,Motorcycle,Walk,Taxi/Private hire car,Bus,2.0
207,South,25 – 34,Male,4.0,1.0,2.0,Car,Cycle,Walk,Bus,Cycle,Bus,2.0
208,West,45 – 54,Male,4.0,4.0,3.0,Bus,Walk,Taxi/Private hire car,Bus,Taxi/Private hire car,Walk,0.0
209,South,45 – 54,Male,4.0,3.0,3.0,Car,Walk,Bus,Bus,Cycle,Walk,2.0
210,East,45 – 54,Female,2.0,2.0,2.0,Car,Walk,None,Car,Bus,Walk,1.0
211,West,25 – 34,Female,5.0,4.0,4.0,Walk,Bus,None,Bus,Taxi/Private hire car,None,0.0
212,West,25 – 34,Female,4.0,4.0,3.0,Walk,Bus,None,Bus,Taxi/Private hire car,None,0.0
213,North,35 – 44,Female,5.0,5.0,5.0,Walk,Bus,Walk,Bus,Walk,Bus,0.0
214,West,16 – 24,Male,4.0,4.0,5.0,Bus,Walk,None,Bus,Taxi/Private hire car,Motorcycle,0.0
215,South,25 – 34,Female,3.0,4.0,1.0,Walk,Car,Taxi/Private hire car,Walk,Bus,Taxi/Private hire car,1.0
216,West,35 – 44,Male,4.0,1.0,1.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
217,Central,35 – 44,Female,3.0,3.0,3.0,Car,Bus,Walk,Car,Bus,Walk,1.0
218,North,25 – 34,Female,4.0,4.0,4.0,Car,Walk,None,Car,Bus,Taxi/Private hire car,1.0
219,East,55 – 64,Male,4.0,3.0,3.0,Walk,None,,Walk,Bus,None,0.0
220,South,35 – 44,Female,5.0,1.0,1.0,Walk,Car,None,Walk,Car,None,2.0
221,North,55 – 64,Male,5.0,5.0,5.0,Bus,Tram,None,Bus,Tram,Walk,0.0
222,West,35 – 44,Male,5.0,5.0,5.0,Car,Walk,Bus,Car,Walk,Bus,2.0
223,East,35 – 44,Male,5.0,4.0,1.0,Walk,Bus,Car,Walk,Bus,Car,1.0
224,North,35 – 44,Female,3.0,3.0,3.0,Walk,Bus,Tram,Bus,Walk,Tram,0.0
225,North,35 – 44,Female,3.0,5.0,3.0,Bus,Car,Walk,Bus,Walk,Car,1.0
226,North,65 – 74,Male,3.0,4.0,4.0,Car,Walk,Bus,Bus,Car,Walk,2.0
227,North,25 – 34,Female,5.0,5.0,5.0,Walk,Car,Bus,Bus,Walk,Car,1.0
228,West,25 – 34,Female,4.0,2.0,2.0,Car,Walk,Bus,Bus,Walk,Car,1.0
229,West,25 – 34,Female,5.0,4.0,4.0,Car,Taxi/Private hire car,Walk,Walk,Bus,Car,2.0
230,Central,25 – 34,Female,5.0,4.0,5.0,Car,Walk,Bus,Car,Bus,Walk,1.0
231,North,25 – 34,Female,2.0,2.0,2.0,Car,Walk,Bus,Car,Bus,Car,2.0
232,East,55 – 64,Female,4.0,4.0,3.0,Walk,Bus,Car,Bus,Walk,Car,1.0
233,West,16 – 24,Male,5.0,3.0,3.0,Car,Walk,Cycle,Car,Walk,Cycle,1.0
234,South,65 – 74,Male,1.0,2.0,2.0,Bus,Car,Walk,Bus,Car,Walk,2.0
235,Central,55 – 64,Female,4.0,5.0,4.0,Bus,Walk,Car,Walk,Car,Taxi/Private hire car,1.0
236,North,25 – 34,Female,3.0,4.0,3.0,Car,Walk,None,Car,Walk,None,1.0
237,North,45 – 54,Female,5.0,5.0,5.0,Walk,Car,Bus,Walk,Car,Bus,1.0
238,West,55 – 64,Male,3.0,5.0,3.0,Walk,Car,Tram,Tram,Car,Walk,1.0
239,North,35 – 44,Male,4.0,1.0,1.0,Walk,Car,None,Car,Walk,None,2.0
240,Central,35 – 44,Male,2.0,2.0,2.0,Walk,Car,Bus,Walk,Car,Bus,1.0
241,South,45 – 54,Male,5.0,5.0,5.0,Bus,Walk,None,Bus,Walk,Taxi/Private hire car,0.0
242,South,45 – 54,Male,5.0,5.0,5.0,Bus,Walk,None,Bus,Walk,Taxi/Private hire car,0.0
243,East,45 – 54,Female,5.0,4.0,3.0,Bus,Walk,Tram,Walk,Bus,Tram,0.0
244,East,65 – 74,Male,5.0,2.0,1.0,Car,Walk,Bus,Car,Walk,Bus,2.0
245,East,35 – 44,Female,4.0,4.0,4.0,Car,Walk,None,Car,Taxi/Private hire car,Walk,2.0
246,North,55 – 64,Female,2.0,3.0,2.0,Walk,Car,Bus,Bus,Car,Walk,1.0
247,East,35 – 44,Male,3.0,1.0,3.0,Walk,Car,Bus,Walk,Bus,Car,1.0
248,West,45 – 54,Male,5.0,3.0,1.0,Car,Walk,Bus,Bus,Car,Walk,1.0
249,West,25 – 34,Male,4.0,5.0,4.0,Walk,None,,Walk,Bus,None,0.0
250,North,25 – 34,Female,5.0,5.0,5.0,Bus,Tram,Walk,Bus,Taxi/Private hire car,Car,2.0
251,North,25 – 34,Female,5.0,2.0,2.0,Car,Taxi/Private hire car,None,Car,Taxi/Private hire car,Bus,2.0
252,West,55 – 64,Female,5.0,5.0,5.0,Walk,Other,Car,Walk,Car,Other,1.0
253,South,65 – 74,Female,2.0,2.0,2.0,Car,None,,Car,Bus,None,1.0
254,West,25 – 34,Female,5.0,5.0,5.0,Walk,Bus,Taxi/Private hire car,Walk,Bus,Taxi/Private hire car,0.0
255,East,65 – 74,Female,5.0,5.0,5.0,Bus,Walk,Cycle,Bus,Walk,Cycle,0.0
256,North,25 – 34,Male,5.0,5.0,5.0,Walk,Car,Bus,Bus,Car,Walk,1.0
257,North,35 – 44,Female,5.0,5.0,5.0,Walk,None,,Bus,Walk,Car,0.0
258,West,55 – 64,Female,5.0,4.0,3.0,Walk,Car,Bus,Walk,Car,Bus,1.0
259,South,55 – 64,Male,5.0,5.0,5.0,Walk,Bus,Car,Bus,Car,Walk,1.0
260,South,65 – 74,Female,3.0,3.0,3.0,Bus,Walk,None,Bus,Walk,None,0.0
261,North,35 – 44,Male,4.0,4.0,4.0,Bus,Walk,Cycle,Bus,Walk,Cycle,1.0
262,West,25 – 34,Female,1.0,2.0,2.0,Car,Walk,Other,Car,Walk,Other,1.0
263,North,35 – 44,Male,4.0,3.0,3.0,Walk,Bus,None,Bus,Walk,None,0.0
264,West,25 – 34,Female,5.0,5.0,3.0,Walk,Car,Bus,Car,Walk,Bus,1.0
265,North,35 – 44,Female,4.0,4.0,4.0,Car,Walk,Cycle,Car,Walk,Bus,1.0
266,West,65 – 74,Female,4.0,5.0,4.0,Bus,Taxi/Private hire car,Walk,Bus,Taxi/Private hire car,Walk,0.0
267,West,65 – 74,Female,4.0,1.0,3.0,Car,Bus,Walk,Bus,Car,Walk,1.0
268,South,55 – 64,Female,5.0,4.0,4.0,Walk,Car,Cycle,Bus,Car,Cycle,1.0
269,Central,45 – 54,Female,4.0,4.0,4.0,Bus,Car,Walk,Bus,Car,Walk,1.0
270,South,55 – 64,Male,5.0,5.0,4.0,Bus,Walk,Car,Bus,Walk,Car,1.0
271,North,25 – 34,Female,4.0,1.0,1.0,Bus,Walk,Car,Bus,Car,Walk,1.0
272,East,16 – 24,Female,4.0,5.0,5.0,Cycle,Bus,Walk,Bus,Cycle,Walk,0.0
273,North,25 – 34,Male,2.0,2.0,2.0,Car,Walk,Bus,Car,Walk,Bus,1.0
274,North,45 – 54,Male,4.0,4.0,4.0,Bus,Walk,None,Bus,Walk,None,0.0
275,Central,25 – 34,Female,5.0,5.0,4.0,Walk,Bus,Taxi/Private hire car,Walk,Bus,Taxi/Private hire car,0.0
276,South,16 – 24,Male,4.0,5.0,3.0,Bus,Walk,None,Bus,Walk,None,0.0
278,Central,65 – 74,Male,2.0,2.0,2.0,Car,Walk,None,Car,Bus,Walk,1.0
279,East,35 – 44,Female,4.0,5.0,5.0,Car,Walk,Bus,Walk,Car,Bus,1.0
280,South,35 – 44,Female,5.0,5.0,5.0,Walk,Cycle,Car,Walk,Cycle,Car,1.0
281,South,55 – 64,Female,2.0,2.0,2.0,Car,Walk,Tram,Walk,Car,Tram,2.0
282,North,35 – 44,Male,3.0,3.0,3.0,Car,Walk,Bus,Car,Walk,Bus,1.0
283,East,65 – 74,Male,5.0,5.0,3.0,Walk,Bus,Car,Bus,Walk,Tram,1.0
284,West,25 – 34,Female,2.0,2.0,2.0,None,,,Car,None,,0.0
285,East,55 – 64,Male,3.0,4.0,3.0,Walk,Bus,Car,Walk,Bus,None,1.0
286,North,55 – 64,Male,3.0,1.0,3.0,Walk,Cycle,Car,Car,Walk,Bus,2.0
287,North,45 – 54,Male,4.0,4.0,4.0,Bus,Walk,Cycle,Walk,Bus,Cycle,0.0
288,North,55 – 64,Female,4.0,1.0,1.0,Walk,Car,None,Bus,Walk,Car,1.0
289,North,65 – 74,Male,2.0,2.0,2.0,Cycle,None,,Cycle,None,,0.0
290,North,35 – 44,Female,1.0,1.0,4.0,Car,Walk,None,Car,Walk,None,1.0
291,Central,65 – 74,Male,4.0,4.0,3.0,Walk,None,,Walk,Bus,Tram,0.0
292,South,65 – 74,Male,3.0,3.0,1.0,Car,Bus,Walk,Car,Bus,Walk,1.0
293,East,55 – 64,Male,4.0,3.0,3.0,Cycle,Car,Cycle,Walk,Cycle,Bus,1.0
294,North,55 – 64,Male,5.0,3.0,3.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
295,North,55 – 64,Male,1.0,1.0,1.0,Car,Walk,None,Car,Bus,Walk,1.0
296,Central,35 – 44,Female,5.0,5.0,5.0,Walk,Car,Taxi/Private hire car,Car,Taxi/Private hire car,Walk,2.0
297,South,65 – 74,Male,1.0,4.0,1.0,Car,Walk,None,Bus,Car,Walk,2.0
298,South,65 – 74,Male,5.0,5.0,4.0,Walk,Car,None,Bus,Car,Walk,2.0
299,East,55 – 64,Female,5.0,5.0,5.0,Walk,Cycle,Car,Bus,Walk,Cycle,1.0
300,South,55 – 64,Female,1.0,2.0,2.0,Car,None,,Car,None,,1.0
301,North,45 – 54,Female,5.0,5.0,5.0,Car,Bus,None,Car,Bus,None,1.0
302,East,35 – 44,Male,5.0,5.0,5.0,Walk,Bus,None,Walk,Bus,Tram,0.0
303,South,65 – 74,Male,1.0,1.0,1.0,Car,Walk,None,Car,Walk,Bus,2.0
304,East,55 – 64,Male,5.0,5.0,5.0,Walk,Bus,Cycle,Walk,Bus,Car,1.0
305,West,75 and over,Male,4.0,3.0,1.0,Bus,Walk,Car,Bus,Car,Walk,1.0
306,West,45 – 54,Male,4.0,4.0,4.0,Bus,Walk,Tram,Bus,Walk,Tram,0.0
307,South,65 – 74,Male,3.0,1.0,1.0,Bus,Car,Walk,Bus,Car,Walk,2.0
308,West,45 – 54,Female,5.0,4.0,4.0,Walk,Car,Bus,Walk,Car,Bus,2.0
309,Central,45 – 54,Male,3.0,3.0,3.0,Walk,Bus,None,Walk,Bus,Car,1.0
310,South,55 – 64,Male,4.0,4.0,4.0,Bus,Walk,Cycle,Bus,Walk,Cycle,1.0
311,South,45 – 54,Female,3.0,3.0,3.0,Car,Cycle,Walk,Car,Bus,Walk,1.0
312,South,45 – 54,Female,3.0,1.0,1.0,Car,None,,Car,None,,2.0
313,East,75 and over,Female,1.0,1.0,1.0,Car,Walk,None,Car,Walk,Bus,1.0
314,Central,25 – 34,Female,5.0,4.0,4.0,Car,Motorcycle,Cycle,Car,Walk,Motorcycle,2.0
315,South,55 – 64,Female,4.0,1.0,3.0,Car,Bus,None,Bus,Car,None,1.0
316,East,55 – 64,Male,4.0,4.0,4.0,Walk,None,,Walk,Bus,Cycle,0.0
317,South,55 – 64,Male,5.0,4.0,3.0,Walk,Cycle,Car,Cycle,Car,Walk,1.0
320,North,75 and over,Male,4.0,4.0,3.0,Taxi/Private hire car,None,,Taxi/Private hire car,None,,0.0
321,East,65 – 74,Female,5.0,5.0,5.0,Bus,Walk,Cycle,Bus,Walk,Cycle,0.0
322,East,35 – 44,Female,5.0,5.0,5.0,Car,Walk,Bus,Car,Bus,Walk,2.0
323,South,65 – 74,Female,3.0,4.0,4.0,Bus,Walk,None,Bus,Walk,None,0.0
324,North,65 – 74,Male,2.0,2.0,2.0,Walk,Car,Bus,Bus,Car,Walk,1.0
325,North,35 – 44,Female,3.0,3.0,3.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
326,East,45 – 54,Male,2.0,2.0,2.0,Car,Bus,Taxi/Private hire car,Car,Taxi/Private hire car,Bus,2.0
327,Central,35 – 44,Female,3.0,4.0,4.0,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,Bus,0.0
328,North,25 – 34,Female,1.0,4.0,4.0,Walk,Car,None,Car,Walk,None,1.0
329,East,45 – 54,Male,4.0,4.0,4.0,Walk,Car,Other,Walk,Car,None,1.0
330,East,35 – 44,Male,4.0,4.0,3.0,Cycle,Car,Walk,Cycle,Car,Walk,1.0
331,North,45 – 54,Male,3.0,4.0,3.0,Taxi/Private hire car,Walk,Bus,Taxi/Private hire car,Walk,Bus,1.0
332,South,35 – 44,Female,5.0,5.0,4.0,Walk,None,,Bus,Walk,Taxi/Private hire car,0.0
333,North,45 – 54,Female,5.0,5.0,5.0,Walk,Cycle,Bus,Walk,Cycle,Bus,0.0
334,North,55 – 64,Male,4.0,4.0,4.0,Walk,Bus,None,Walk,Bus,Taxi/Private hire car,0.0
335,North,16 – 24,Female,5.0,5.0,5.0,Car,Tram,Walk,Bus,Tram,Bus,2.0
336,West,45 – 54,Male,3.0,4.0,3.0,Walk,Bus,None,Bus,Walk,Tram,0.0
337,East,55 – 64,Male,4.0,4.0,4.0,Cycle,Walk,Car,Cycle,Walk,Car,2.0
338,East,45 – 54,Male,5.0,5.0,5.0,Walk,Bus,None,Walk,Bus,None,0.0
339,East,65 – 74,Male,2.0,2.0,2.0,Walk,Bus,Car,Walk,Bus,Car,1.0
340,South,65 – 74,Male,3.0,4.0,3.0,Car,Walk,None,Tram,Car,Walk,2.0
341,South,65 – 74,Female,4.0,4.0,4.0,Bus,Tram,Bus,Bus,Tram,None,1.0
342,South,16 – 24,Female,5.0,5.0,2.0,Car,Walk,Cycle,Car,Walk,Cycle,2.0
343,East,35 – 44,Male,5.0,5.0,5.0,Cycle,Walk,Bus,Cycle,Walk,Bus,0.0
344,South,65 – 74,Female,2.0,2.0,2.0,Car,None,,Car,Bus,None,1.0
345,South,16 – 24,Female,4.0,4.0,4.0,Bus,Walk,None,Bus,Walk,None,0.0
346,East,16 – 24,Female,3.0,1.0,3.0,Walk,Bus,None,Bus,Walk,None,0.0
347,East,55 – 64,Male,4.0,4.0,4.0,Car,Cycle,Walk,Car,Cycle,Bus,1.0
348,East,45 – 54,Male,1.0,2.0,2.0,Car,Walk,Cycle,Bus,Car,Walk,1.0
349,West,35 – 44,Female,1.0,3.0,3.0,Bus,Walk,Taxi/Private hire car,Bus,Tram,Walk,0.0
350,West,35 – 44,Female,5.0,1.0,2.0,Car,Walk,None,Bus,Car,Walk,2.0
351,West,55 – 64,Male,3.0,3.0,1.0,Car,Bus,Walk,Bus,Car,Walk,2.0
353,East,16 – 24,Female,5.0,1.0,1.0,Walk,Car,None,Car,None,,1.0
354,North,55 – 64,Female,3.0,2.0,2.0,Bus,Walk,Car,Bus,Walk,Car,1.0
355,South,35 – 44,Female,5.0,5.0,5.0,Car,Walk,None,Car,Walk,Bus,1.0
356,South,65 – 74,Male,4.0,4.0,4.0,Car,Motorcycle,Walk,Bus,Car,Motorcycle,2.0
357,South,65 – 74,Female,5.0,5.0,3.0,Walk,Car,Bus,Walk,Car,Bus,1.0
359,South,55 – 64,Male,1.0,3.0,2.0,Walk,Car,Tram,Walk,Bus,Car,1.0
360,East,45 – 54,Female,5.0,5.0,5.0,Walk,Cycle,Car,Cycle,Car,Walk,1.0
361,Central,45 – 54,Male,2.0,2.0,2.0,Car,None,,Car,None,,1.0
364,South,55 – 64,Female,1.0,4.0,1.0,Bus,Car,Walk,Bus,Car,Walk,1.0
365,Central,35 – 44,Female,3.0,3.0,3.0,Car,Bus,Tram,Bus,Tram,Walk,1.0
366,East,65 – 74,Male,4.0,5.0,5.0,Bus,Taxi/Private hire car,Walk,Bus,Walk,Tram,1.0
370,Central,45 – 54,Female,3.0,4.0,3.0,Walk,Bus,Car,Bus,Car,Walk,1.0
372,East,35 – 44,Male,2.0,2.0,2.0,Bus,Walk,Car,Bus,Walk,Car,1.0
373,North,55 – 64,Female,1.0,1.0,1.0,Car,Walk,None,Car,Walk,None,1.0
375,East,65 – 74,Female,4.0,3.0,1.0,Car,Walk,None,Car,Walk,None,1.0
377,South,55 – 64,Male,1.0,4.0,1.0,Car,None,,Car,Bus,None,1.0
378,East,35 – 44,Female,4.0,4.0,1.0,Walk,Bus,Taxi/Private hire car,Walk,Bus,Taxi/Private hire car,0.0
379,South,35 – 44,Female,5.0,5.0,5.0,Walk,Bus,Tram,Walk,Bus,Tram,0.0
380,Central,55 – 64,Male,3.0,4.0,3.0,Car,Cycle,Bus,Car,Cycle,Bus,1.0
381,North,65 – 74,Male,4.0,4.0,4.0,Car,Bus,Tram,Car,Bus,Tram,1.0
382,North,55 – 64,Male,2.0,3.0,3.0,Walk,Cycle,Bus,Bus,Walk,Car,2.0
383,North,45 – 54,Male,3.0,1.0,2.0,Bus,Car,None,Bus,Car,None,2.0
384,East,16 – 24,Female,5.0,5.0,5.0,Bus,Tram,Taxi/Private hire car,Car,Taxi/Private hire car,Bus,1.0
385,North,55 – 64,Female,4.0,4.0,4.0,Walk,Car,Taxi/Private hire car,Walk,Bus,Taxi/Private hire car,1.0
386,South,55 – 64,Male,5.0,5.0,5.0,Walk,Car,None,Car,Walk,Bus,2.0
387,South,55 – 64,Male,5.0,5.0,5.0,Walk,Bus,Car,Bus,Car,Walk,1.0
388,West,55 – 64,Female,4.0,1.0,2.0,Car,Walk,Tram,Car,Walk,Tram,1.0
389,Central,65 – 74,Male,5.0,5.0,5.0,Walk,Cycle,None,Bus,Cycle,None,0.0
390,North,25 – 34,Female,2.0,2.0,2.0,Car,Taxi/Private hire car,Car,Car,Taxi/Private hire car,Car,1.0
391,West,45 – 54,Male,4.0,5.0,4.0,Bus,Walk,Car,Bus,Walk,Car,1.0
392,South,55 – 64,Male,5.0,4.0,3.0,Bus,Walk,Car,Bus,Walk,Car,1.0
393,North,55 – 64,Male,5.0,5.0,5.0,Walk,None,,Walk,None,,1.0
394,East,45 – 54,Female,2.0,3.0,1.0,Car,Walk,None,Car,Bus,Walk,1.0
395,North,65 – 74,Male,5.0,4.0,3.0,Car,Bus,Tram,Car,Bus,Walk,2.0
396,East,65 – 74,Male,2.0,2.0,2.0,Other,Taxi/Private hire car,None,Bus,Taxi/Private hire car,None,0.0
397,East,35 – 44,Male,3.0,2.0,2.0,Walk,Car,Cycle,Walk,Car,Cycle,1.0
398,East,45 – 54,Male,3.0,1.0,1.0,Bus,Walk,None,Bus,None,,1.0
399,West,75 and over,Male,5.0,3.0,2.0,Car,Walk,Bus,Car,Bus,Walk,1.0
400,East,45 – 54,Female,4.0,4.0,4.0,Taxi/Private hire car,Bus,Walk,Bus,Taxi/Private hire car,Walk,0.0
401,West,45 – 54,Female,4.0,5.0,5.0,Walk,Cycle,Car,Walk,Cycle,Car,2.0
402,East,35 – 44,Male,2.0,3.0,3.0,Walk,Bus,Cycle,Walk,Bus,Taxi/Private hire car,0.0
403,East,65 – 74,Male,4.0,1.0,1.0,Car,Bus,Walk,Car,Bus,Walk,1.0
404,South,45 – 54,Male,2.0,2.0,2.0,Walk,Car,Cycle,Walk,Car,Cycle,1.0
405,South,65 – 74,Male,1.0,4.0,1.0,Car,Bus,Walk,Car,Walk,None,1.0
406,South,55 – 64,Male,5.0,5.0,5.0,Walk,Car,None,Car,Bus,Walk,1.0
407,North,25 – 34,Female,4.0,4.0,4.0,Walk,Bus,None,Walk,Bus,None,0.0
408,East,25 – 34,Female,1.0,3.0,2.0,Tram,Car,Walk,Tram,Bus,Walk,1.0
409,North,45 – 54,Male,4.0,4.0,3.0,Walk,Car,None,Bus,Walk,Car,1.0
410,East,55 – 64,Male,4.0,3.0,3.0,Walk,Car,Cycle,Walk,Car,Cycle,1.0
411,South,16 – 24,Male,1.0,4.0,1.0,Car,Walk,None,Car,Bus,Walk,2.0
412,West,45 – 54,Female,4.0,4.0,4.0,Walk,Bus,Tram,Bus,Walk,Tram,0.0
413,West,45 – 54,Female,4.0,4.0,3.0,Walk,Car,None,Car,Bus,Walk,1.0
414,Central,45 – 54,Female,5.0,5.0,5.0,Walk,Cycle,Car,Walk,Cycle,Car,1.0
415,North,65 – 74,Female,3.0,3.0,4.0,Car,None,,Car,None,,1.0
416,South,65 – 74,Female,5.0,4.0,4.0,Car,None,,Car,Bus,Walk,2.0
417,North,65 – 74,Female,5.0,5.0,5.0,Bus,Walk,Car,Bus,Walk,Car,0.0
418,West,45 – 54,Female,5.0,5.0,5.0,Bus,Walk,None,Bus,Taxi/Private hire car,Walk,0.0
419,West,35 – 44,Male,4.0,4.0,1.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,1.0
420,West,55 – 64,Female,1.0,4.0,1.0,Walk,Bus,Car,Walk,Bus,Car,1.0
421,North,65 – 74,Male,5.0,4.0,3.0,Walk,Car,Tram,Bus,Tram,Car,1.0
422,North,75 and over,Male,2.0,2.0,2.0,Car,Taxi/Private hire car,Walk,Car,Bus,Taxi/Private hire car,1.0
423,East,35 – 44,Female,2.0,2.0,2.0,Car,Walk,None,Car,Walk,None,1.0
424,North,45 – 54,Male,3.0,3.0,1.0,Walk,Car,Bus,Bus,Car,Walk,1.0
425,South,45 – 54,Female,4.0,4.0,4.0,Bus,Other,Walk,Walk,Bus,Cycle,0.0
426,East,55 – 64,Male,3.0,3.0,3.0,Bus,Walk,Car,Car,Bus,Walk,1.0
427,North,25 – 34,Female,4.0,4.0,4.0,Car,Walk,None,Car,Bus,Walk,2.0
428,South,65 – 74,Male,1.0,1.0,1.0,Car,Walk,None,Car,Walk,Bus,2.0
429,South,45 – 54,Female,5.0,5.0,5.0,Bus,Walk,Car,Bus,Walk,Car,1.0
430,East,55 – 64,Male,4.0,5.0,3.0,Walk,Bus,None,Walk,Bus,None,0.0
431,East,25 – 34,Female,1.0,5.0,4.0,Bus,Taxi/Private hire car,Walk,Other,Taxi/Private hire car,None,2.0
432,North,65 – 74,Female,4.0,4.0,3.0,Car,Walk,Bus,Bus,Walk,Car,1.0
434,East,45 – 54,Male,4.0,4.0,4.0,Bus,Car,Walk,Bus,Walk,None,1.0
435,West,55 – 64,Female,5.0,4.0,4.0,Bus,Walk,Car,Bus,Walk,Car,1.0
436,Central,16 – 24,Female,5.0,4.0,4.0,Walk,Cycle,Car,Car,Bus,Cycle,2.0
437,North,55 – 64,Female,5.0,5.0,5.0,Walk,None,,Walk,Bus,None,0.0
438,South,65 – 74,Female,3.0,2.0,2.0,Walk,Car,Bus,Walk,Car,Bus,2.0
439,West,65 – 74,Female,4.0,1.0,3.0,Car,Walk,None,Bus,Tram,Walk,2.0
440,South,55 – 64,Female,4.0,1.0,1.0,Car,Walk,None,Bus,Car,Walk,2.0
441,Central,45 – 54,Female,4.0,4.0,3.0,Walk,Bus,None,None,,,0.0
442,Central,65 – 74,Male,4.0,5.0,1.0,Walk,None,,Walk,None,,1.0
443,South,65 – 74,Female,5.0,5.0,5.0,Car,Cycle,None,Car,Cycle,Bus,1.0
444,West,45 – 54,Female,4.0,5.0,5.0,Walk,None,,Walk,Bus,None,0.0
445,Central,75 and over,Male,4.0,4.0,1.0,Cycle,Car,None,Cycle,Car,Bus,1.0
446,Central,25 – 34,Male,3.0,4.0,3.0,Walk,Bus,None,Walk,Bus,None,0.0
447,West,55 – 64,Male,5.0,3.0,2.0,Walk,Bus,None,Walk,Bus,None,0.0
448,East,35 – 44,Male,4.0,4.0,2.0,Walk,Bus,None,Walk,Bus,Car,1.0
449,South,25 – 34,Female,5.0,5.0,4.0,Walk,Bus,None,Bus,Tram,Walk,0.0
450,Central,35 – 44,Male,4.0,4.0,3.0,Walk,Car,Bus,Bus,Walk,Car,1.0
451,East,35 – 44,Male,4.0,1.0,3.0,Walk,Car,Bus,Bus,Walk,Car,1.0
452,East,16 – 24,Female,5.0,5.0,4.0,Walk,Car,Bus,Walk,Car,Walk,2.0
453,East,65 – 74,Female,5.0,5.0,5.0,Car,None,,Bus,None,,1.0
454,South,25 – 34,Female,4.0,4.0,3.0,Walk,Taxi/Private hire car,Bus,Bus,Walk,Taxi/Private hire car,0.0
455,South,65 – 74,Male,4.0,3.0,3.0,Walk,Bus,Tram,Bus,Walk,Tram,0.0
456,North,55 – 64,Female,2.0,2.0,2.0,Bus,Walk,None,Bus,Tram,Walk,0.0
457,North,55 – 64,Male,2.0,2.0,2.0,Walk,Cycle,Car,Walk,Bus,Cycle,2.0
458,West,65 – 74,Male,4.0,4.0,1.0,Taxi/Private hire car,Car,Walk,Bus,Car,Taxi/Private hire car,1.0
459,South,45 – 54,Female,3.0,4.0,4.0,Walk,Car,None,Bus,Walk,Car,1.0
460,East,25 – 34,Male,5.0,5.0,5.0,Walk,Bus,Taxi/Private hire car,Walk,Bus,Taxi/Private hire car,0.0
461,East,35 – 44,Female,5.0,5.0,5.0,Walk,Cycle,Bus,Walk,Bus,Cycle,0.0
462,West,16 – 24,Female,3.0,2.0,2.0,Car,None,,Car,Bus,Walk,2.0
463,West,25 – 34,Female,5.0,3.0,5.0,Walk,None,,Bus,Taxi/Private hire car,Walk,0.0
464,North,35 – 44,Female,5.0,5.0,5.0,Walk,Bus,Walk,Walk,Bus,Walk,0.0
465,North,35 – 44,Female,5.0,5.0,5.0,Walk,Bus,Walk,Walk,Bus,Walk,0.0
466,North,65 – 74,Male,3.0,3.0,2.0,Car,Walk,Bus,Car,Walk,Bus,1.0
467,West,35 – 44,Male,3.0,2.0,2.0,Car,None,,Car,None,,1.0
468,East,35 – 44,Female,1.0,4.0,3.0,Walk,Bus,Car,Walk,Bus,Car,1.0
469,North,35 – 44,Female,5.0,5.0,5.0,Walk,Bus,Walk,Walk,Bus,Car,0.0
470,North,25 – 34,Female,5.0,5.0,5.0,Walk,Car,Taxi/Private hire car,Walk,Car,Bus,1.0
471,South,65 – 74,Male,4.0,4.0,4.0,Car,Bus,Walk,Car,Bus,Tram,2.0
472,East,25 – 34,Female,5.0,5.0,4.0,Walk,Bus,Cycle,Car,Walk,Cycle,1.0
473,West,25 – 34,Male,5.0,3.0,3.0,Motorcycle,Car,Cycle,Walk,Motorcycle,Car,2.0
474,North,35 – 44,Female,5.0,5.0,5.0,Walk,Car,Bus,Car,Walk,Bus,1.0
475,East,55 – 64,Male,4.0,4.0,3.0,Walk,None,,Walk,Bus,None,0.0
