started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2019-03-01 00:00:56.509000+00:00,2019-03-01 00:07:02.422000+00:00,365,248,Bristo Square,"Bristo Square, near Potterrow",55.94600418964078,-3.188665492872815,359,Causewayside,Causewayside outside NLS,55.93642987756881,-3.1801149035579783
2019-03-01 00:49:21.473000+00:00,2019-03-01 01:00:31.274000+00:00,669,275,Riego Street,Riego Street on junction with East Fountainbridge,55.945159896857184,-3.2036782907171073,346,Morningside Road,Corner of Morningside Road & Morningside Park by M & S car park,55.92798551356313,-3.209738736635245
2019-03-01 02:23:00.079000+00:00,2019-03-01 02:39:03.720000+00:00,963,275,Riego Street,Riego Street on junction with East Fountainbridge,55.945159896857184,-3.2036782907171073,346,Morningside Road,Corner of Morningside Road & Morningside Park by M & S car park,55.92798551356313,-3.209738736635245
2019-03-01 02:46:45.400000+00:00,2019-03-01 02:55:09.366000+00:00,503,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825,183,Waverley Bridge,near the top of the South ramp,55.95134439884462,-3.1914209989898836
2019-03-01 02:53:22.246000+00:00,2019-03-01 03:11:54.557000+00:00,1112,260,Lauriston Place,near Chalmers Street,55.944771652335476,-3.1972658564195626,366,Newhaven Road / Dudley Gardens,Corner of Dudley Gardens on Newhaven Road,55.97592062794979,-3.1913460792943624
2019-03-01 03:48:03.901000+00:00,2019-03-01 03:56:06.363000+00:00,482,248,Bristo Square,"Bristo Square, near Potterrow",55.94600418964078,-3.188665492872815,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453
2019-03-01 05:11:33.171000+00:00,2019-03-01 05:25:04.578000+00:00,811,225,Waverley Court,On Waverley Court forecourt,55.95173449698344,-3.1841785354060903,277,"Waitrose, Comely Bank",Fettes Avenue,55.959504176688824,-3.2234280553759618
2019-03-01 07:04:33.879000+00:00,2019-03-01 07:11:42.347000+00:00,428,189,City Chambers,City Chambers Quadrangle,55.95010933017899,-3.190257770093808,341,Warrender Park Road,Corner of Warrender Park Road & Spottiswoode Street,55.938363058645024,-3.198031182386103
2019-03-01 07:12:38.541000+00:00,2019-03-01 07:24:38.321000+00:00,719,354,South Trinity Road,Corner of South Trinity Road & Ferry Road,55.971268912190844,-3.2078157175304796,250,Victoria Quay,Entrance to Scottish Government Office,55.977637787726984,-3.174115590621568
2019-03-01 07:34:43.283000+00:00,2019-03-01 07:55:41.310000+00:00,1258,253,Kings Building 2,Sanderson Building,55.92320215516664,-3.1716462453634904,256,St Andrews House,beside Jacobs ladder,55.95316433242384,-3.181682340931843
2019-03-01 07:50:08.100000+00:00,2019-03-01 07:54:27.553000+00:00,259,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277433,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929
2019-03-01 07:53:00.976000+00:00,2019-03-01 07:57:49.445000+00:00,288,356,East London Street,Outside St. Mary's Primary School,55.95994339132352,-3.187329201962484,355,Inverleith Row,Corner of Inverleith Row & Inverleith Terrace,55.964145597867244,-3.2020735606114386
2019-03-01 07:54:28.049000+00:00,2019-03-01 08:02:24.729000+00:00,476,265,Meadows East,Melville Terrace,55.939809466328285,-3.182738850746432,275,Riego Street,Riego Street on junction with East Fountainbridge,55.945159896857184,-3.2036782907171073
2019-03-01 08:01:19.729000+00:00,2019-03-01 08:09:40.077000+00:00,500,366,Newhaven Road / Dudley Gardens,Corner of Dudley Gardens on Newhaven Road,55.97592062794979,-3.1913460792943624,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929
2019-03-01 08:02:37.232000+00:00,2019-03-01 08:12:54.417000+00:00,617,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929,366,Newhaven Road / Dudley Gardens,Corner of Dudley Gardens on Newhaven Road,55.97592062794979,-3.1913460792943624
2019-03-01 08:03:52.445000+00:00,2019-03-01 08:13:57.532000+00:00,605,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96503980507732,-3.1766864147848537,259,St Andrew Square,North East corner,55.95474881217642,-3.1927736686587878
2019-03-01 08:11:01.766000+00:00,2019-03-01 08:46:10.039000+00:00,2108,257,Portobello,Edinburgh Leisure Tumbles Centre,55.957004308392506,-3.1168881187301167,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929
2019-03-01 08:11:22.332000+00:00,2019-03-01 08:18:20.450000+00:00,418,171,George Square,"George Square, south side in front of University library",55.94308406301113,-3.1883110727223993,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453
2019-03-01 08:12:12.960000+00:00,2019-03-01 08:31:16.933000+00:00,1143,277,"Waitrose, Comely Bank",Fettes Avenue,55.959504176688824,-3.2234280553759618,250,Victoria Quay,Entrance to Scottish Government Office,55.977637787726984,-3.174115590621568
2019-03-01 08:14:15.758000+00:00,2019-03-01 08:25:12.113000+00:00,656,351,Dalry Road Co-op,By co-op (outside maplins),55.94271471556419,-3.221430982426,258,Stockbridge,Hamilton Place by Dean Bank Lane,55.95856558589723,-3.2080701822277433
2019-03-01 08:14:55.404000+00:00,2019-03-01 08:26:22.701000+00:00,687,250,Victoria Quay,Entrance to Scottish Government Office,55.977637787726984,-3.174115590621568,262,Canonmills,near Tesco's,55.96280408759764,-3.196283585062929
2019-03-01 08:23:39.041000+00:00,2019-03-01 08:52:45.202000+00:00,1746,253,Kings Building 2,Sanderson Building,55.92320215516664,-3.1716462453634904,355,Inverleith Row,Corner of Inverleith Row & Inverleith Terrace,55.964145597867244,-3.2020735606114386
2019-03-01 08:24:42.211000+00:00,2019-03-01 08:43:27.717000+00:00,1125,366,Newhaven Road / Dudley Gardens,Corner of Dudley Gardens on Newhaven Road,55.97592062794979,-3.1913460792943624,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864
2019-03-01 08:24:52.593000+00:00,2019-03-01 08:36:23.114000+00:00,690,352,Dundee Terrace,"Dundee Terrace outside ""glass supplies""",55.93972942415463,-3.220602995527315,171,George Square,"George Square, south side in front of University library",55.94308406301113,-3.1883110727223993
2019-03-01 08:26:16.004000+00:00,2019-03-01 08:37:30.702000+00:00,674,171,George Square,"George Square, south side in front of University library",55.94308406301113,-3.1883110727223993,352,Dundee Terrace,"Dundee Terrace outside ""glass supplies""",55.93972942415463,-3.220602995527315
2019-03-01 08:26:56.380000+00:00,2019-03-01 09:19:28.525000+00:00,3152,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96503980507732,-3.1766864147848537,349,Orchard Brae House,Outside Orchard Brae House on Queensferry Road,55.95508276879095,-3.2236342639564555
2019-03-01 08:30:27.044000+00:00,2019-03-01 08:54:41.956000+00:00,1454,354,South Trinity Road,Corner of South Trinity Road & Ferry Road,55.971268912190844,-3.2078157175304796,359,Causewayside,Causewayside outside NLS,55.93642987756881,-3.1801149035579783
2019-03-01 08:37:13.810000+00:00,2019-03-01 08:52:59.783000+00:00,945,358,Leith Walk,Leith Walk opposite Dalmeny Street,55.96503980507732,-3.1766864147848537,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825
2019-03-01 08:42:26.616000+00:00,2019-03-01 08:57:21.786000+00:00,895,341,Warrender Park Road,Corner of Warrender Park Road & Spottiswoode Street,55.938363058645024,-3.198031182386103,254,Kings Building 3,Kings Building House,55.923478807846635,-3.1753845849070785
2019-03-01 08:42:54.618000+00:00,2019-03-01 08:54:45.151000+00:00,710,354,South Trinity Road,Corner of South Trinity Road & Ferry Road,55.971268912190844,-3.2078157175304796,250,Victoria Quay,Entrance to Scottish Government Office,55.977637787726984,-3.174115590621568
2019-03-01 08:47:02.018000+00:00,2019-03-01 09:00:03.019000+00:00,781,246,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.939000247888764,-3.173923554315593,296,Castle Terrace,Corner of Castle Terrace and Lady Lawson St,55.94676648672239,-3.2020378290551434
2019-03-01 08:47:36.114000+00:00,2019-03-01 09:00:16.194000+00:00,760,356,East London Street,Outside St. Mary's Primary School,55.95994339132352,-3.187329201962484,247,Charlotte Square,North Corner of Charlotte Square,55.95233546161639,-3.2071011721072864
2019-03-01 08:50:39.984000+00:00,2019-03-01 09:09:55.432000+00:00,1155,171,George Square,"George Square, south side in front of University library",55.94308406301113,-3.1883110727223993,355,Inverleith Row,Corner of Inverleith Row & Inverleith Terrace,55.964145597867244,-3.2020735606114386
2019-03-01 08:52:09.322000+00:00,2019-03-01 09:09:55.302000+00:00,1065,346,Morningside Road,Corner of Morningside Road & Morningside Park by M & S car park,55.92798551356313,-3.209738736635245,277,"Waitrose, Comely Bank",Fettes Avenue,55.959504176688824,-3.2234280553759618
2019-03-01 08:55:55.149000+00:00,2019-03-01 09:05:14.884000+00:00,559,265,Meadows East,Melville Terrace,55.939809466328285,-3.182738850746432,275,Riego Street,Riego Street on junction with East Fountainbridge,55.945159896857184,-3.2036782907171073
2019-03-01 08:58:13.566000+00:00,2019-03-01 09:06:49.207000+00:00,515,249,Fountainbridge,Fountainbridge by Gardner's Crescent,55.94335692764551,-3.2092475016246453,171,George Square,"George Square, south side in front of University library",55.94308406301113,-3.1883110727223993
2019-03-01 08:58:58.785000+00:00,2019-03-01 09:06:33.252000+00:00,454,259,St Andrew Square,North East corner,55.95474881217642,-3.1927736686587878,355,Inverleith Row,Corner of Inverleith Row & Inverleith Terrace,55.964145597867244,-3.2020735606114386
2019-03-01 09:06:23.656000+00:00,2019-03-01 09:10:09.866000+00:00,226,265,Meadows East,Melville Terrace,55.939809466328285,-3.182738850746432,246,Royal Commonwealth Pool,Royal Commonwealth Pool Entrance,55.939000247888764,-3.173923554315593
2019-03-01 09:06:28.849000+00:00,2019-03-01 09:26:08.370000+00:00,1179,251,Waverley Station,Platform level near Calton Road Exit,55.952641035774384,-3.187526919462357,250,Victoria Quay,Entrance to Scottish Government Office,55.977637787726984,-3.174115590621568
2019-03-01 09:19:59.462000+00:00,2019-03-01 09:24:49.262000+00:00,289,289,Castle Street,Near Rose Street,55.951500737349754,-3.2031839065252825,259,St Andrew Square,North East corner,55.95474881217642,-3.1927736686587878
2019-03-01 09:25:29.647000+00:00,2019-03-01 10:21:11.418000+00:00,3341,366,Newhaven Road / Dudley Gardens,Corner of Dudley Gardens on Newhaven Road,55.97592062794979,-3.1913460792943624,366,Newhaven Road / Dudley Gardens,Corner of Dudley Gardens on Newhaven Road,55.97592062794979,-3.1913460792943624
2019-03-01 09:34:48.251000+00:00,2019-03-01 09:47:46.800000+00:00,778,252,Kings Buildings 1,Grant Institute,55.92418540667696,-3.173830830087809,248,Bristo Square,"Bristo Square, near Potterrow",55.94600418964078,-3.188665492872815
